date,AAPL,SPY
2023-01-03,122.98271942138672,364.1340026855469
2023-01-04,124.25118255615234,366.9451293945313
2023-01-05,122.93353271484376,362.7570495605469
2023-01-06,127.456787109375,371.0758056640625
2023-01-09,127.97794342041016,370.8654479980469
2023-01-10,128.54823303222656,373.4663391113281
2023-01-11,131.26222229003906,378.1898498535156
2023-01-12,131.18353271484375,379.5667724609375
2023-01-13,132.510986328125,381.0392761230469
2023-01-17,133.6713409423828,380.34130859375
2023-01-18,132.95350646972656,374.33642578125
2023-01-19,133.0124969482422,371.61138916015625
2023-01-20,135.569091796875,378.53411865234375
2023-01-23,138.7550506591797,383.0759887695313
2023-01-24,140.1513214111328,382.6647644042969
2023-01-25,139.49249267578125,382.8082580566406
2023-01-26,141.55747985839844,387.0155029296875
2023-01-27,143.4945831298828,387.9046630859375
2023-01-30,140.6134796142578,383.0377197265625
2023-01-31,141.88194274902344,388.6696472167969
2023-02-01,143.00291442871094,392.80035400390625
2023-02-02,148.30299377441406,398.5183715820313
2023-02-03,151.9215545654297,394.282470703125
2023-02-06,149.1977996826172,391.8728637695313
2023-02-07,152.06907653808594,396.9980163574219
2023-02-08,149.3845977783203,392.6568603515625
2023-02-09,148.3521270751953,389.2529296875
2023-02-10,148.71656799316406,390.1613159179687
2023-02-13,151.51341247558594,394.7414245605469
2023-02-14,150.8732452392578,394.5597534179687
2023-02-15,152.9709014892578,395.841064453125
2023-02-16,151.3755340576172,390.3907470703125
2023-02-17,150.233154296875,389.41546630859375
2023-02-21,146.22494506835938,381.6033935546875
2023-02-22,146.64842224121094,381.0775451660156
2023-02-23,147.13099670410156,383.1046142578125
2023-02-24,144.48184204101562,379.01220703125
2023-02-27,145.67344665527344,380.3030700683594
2023-02-28,145.17120361328125,378.89752197265625
2023-03-01,143.10308837890625,377.4440307617187
2023-03-02,143.69398498535156,380.3795166015625
2023-03-03,148.73623657226562,386.4799499511719
2023-03-06,151.4936981201172,386.74761962890625
2023-03-07,149.29757690429688,380.8193664550781
2023-03-08,150.5482940673828,381.44091796875
2023-03-09,148.3029022216797,374.40338134765625
2023-03-10,146.24462890625,369.0009460449219
2023-03-13,148.18472290039062,368.47503662109375
2023-03-14,150.2725372314453,374.5658874511719
2023-03-15,150.6664276123047,372.2232666015625
2023-03-16,153.48301696777344,378.7539367675781
2023-03-17,152.64593505859375,374.3252868652344
2023-03-20,155.00946044921875,377.9247131347656
2023-03-21,156.86094665527344,382.8870849609375
2023-03-22,155.43296813964844,376.3601684570313
2023-03-23,156.5162353515625,377.3776550292969
2023-03-24,157.81622314453125,379.85400390625
2023-03-27,155.87608337402344,380.5642700195313
2023-03-28,155.25564575195312,379.7099914550781
2023-03-29,158.3283233642578,385.2290954589844
2023-03-30,159.89414978027344,387.4847106933594
2023-03-31,162.3955841064453,392.9461364746094
2023-04-03,163.64627075195312,394.44342041015625
2023-04-04,163.11448669433594,392.2550659179687
2023-04-05,161.2728729248047,391.2279968261719
2023-04-06,162.15921020507812,392.7540893554687
2023-04-10,159.5691680908203,393.1572265625
2023-04-11,158.35784912109375,393.2628479003906
2023-04-12,157.66847229003906,391.659912109375
