date,aapl_adjusted_close,spy_adjusted_close,aapl_momentum_5d,aapl_future_return_5d,spy_future_return_5d,outperformed,average_sentiment_5d,headline_count_5d
2023-01-10,128.54823303222656,373.4663391113281,0.045254436046175,0.0342694203847642,0.0023297592816322,1,-0.1038799379245344,83
2023-01-11,131.26222229003906,378.1898498535156,0.0564263421051807,0.0133341842585574,-0.0173945987601397,1,-0.0512571175431096,86
2023-01-12,131.18353271484375,379.5667724609375,0.0671094356259707,0.0334307133774498,-0.0027206117171386,1,-0.0533809195081871,83
2023-01-13,132.510986328125,381.0392761230469,0.0396542179775238,0.0471211067404861,0.0053451514689177,1,-0.1180299866584039,93
2023-01-17,133.6713409423828,380.34130859375,0.0444873340656033,0.0484769616513618,0.0061088705277305,1,-0.1074087362663418,102
2023-01-18,132.95350646972656,374.33642578125,0.0342694203847642,0.0491825028138208,0.0226316000579149,1,-0.0533326709711993,108
2023-01-19,133.0124969482422,371.61138916015625,0.0133341842585574,0.0642419555019802,0.0414522111508601,1,-0.0640533196298699,95
2023-01-20,135.569091796875,378.53411865234375,0.0334307133774498,0.0584609015813331,0.0247548212218089,1,-0.0665146857500076,88
2023-01-23,138.7550506591797,383.0759887695313,0.0471211067404861,0.0133935950168972,-9.989935180154674e-05,1,0.0508114350469488,95
2023-01-24,140.1513214111328,382.6647644042969,0.0484769616513618,0.01234823418335,0.0156922804790975,0,0.0320027337262504,76
2023-01-25,139.49249267578125,382.8082580566406,0.0491825028138208,0.0251656679552558,0.0261020908952993,0,0.0471663637594743,55
2023-01-26,141.55747985839844,387.0155029296875,0.0642419555019802,0.0476521192858423,0.0297219841718683,1,0.0040070822945347,54
2023-01-27,143.4945831298828,387.9046630859375,0.0584609015813331,0.0587267564512821,0.016441688445943,1,0.0341292432060948,54
2023-01-30,140.6134796142578,383.0377197265625,0.0133935950168972,0.0610490551255011,0.023065989556527,1,-0.0089145662455723,58
2023-01-31,141.88194274902344,388.6696472167969,0.01234823418335,0.0718000725933294,0.0214278866391115,1,-0.097367750480771,64
2023-02-01,143.00291442871094,392.80035400390625,0.0251656679552558,0.044626246780381,-0.0003653093763309,1,-0.1787077712290214,66
2023-02-02,148.30299377441406,398.5183715820313,0.0476521192858423,0.0003313034992131,-0.0232497233634412,1,-0.1337886539901175,82
2023-02-03,151.9215545654297,394.282470703125,0.0587267564512821,-0.0210963255440181,-0.010452290150782,0,-0.265757237540351,135
2023-02-06,149.1977996826172,391.8728637695313,0.0610490551255011,0.0155204218687854,0.007320131237009,1,-0.314549368469655,119
2023-02-07,152.06907653808594,396.9980163574219,0.0718000725933294,-0.0078637374938528,-0.0061417509382666,0,-0.2748418249867179,110
2023-02-08,149.3845977783203,392.6568603515625,0.044626246780381,0.0240071852404717,0.0081093810476444,1,-0.2660410751899083,108
2023-02-09,148.3521270751953,389.2529296875,0.0003313034992131,0.020379936857187,0.0029230798178603,1,-0.2968736699093943,92
2023-02-10,148.71656799316406,390.1613159179687,-0.0210963255440181,0.0101978301690006,-0.001911644181382,1,-0.035475169122219,40
2023-02-13,151.51341247558594,394.7414245605469,0.0155204218687854,-0.0349042855072564,-0.0332826255072812,0,0.0465154562677655,42
2023-02-14,150.8732452392578,394.5597534179687,-0.0078637374938528,-0.0280024665164925,-0.034170257192124,1,0.0286858081817626,47
2023-02-15,152.9709014892578,395.841064453125,0.0240071852404717,-0.0381765729841524,-0.0321756667992709,0,0.0100744161112555,58
2023-02-16,151.3755340576172,390.3907470703125,0.020379936857187,-0.0455403315966347,-0.0291465413164957,0,0.0447471062342325,60
2023-02-17,150.233154296875,389.41546630859375,0.0101978301690006,-0.0303508746983448,-0.023400190872268,0,6.337364514668783e-05,60
2023-02-21,146.22494506835938,381.6033935546875,-0.0349042855072564,-0.0072063043319011,-0.007090795385297,0,-0.0406840993412609,58
2023-02-22,146.64842224121094,381.0775451660156,-0.0280024665164925,-0.0241757381915315,-0.0095348425809608,0,-0.126981348351196,54
2023-02-23,147.13099670410156,383.1046142578125,-0.0381765729841524,-0.023360215017521,-0.0071131945553026,0,-0.0513947983582814,45
2023-02-24,144.48184204101562,379.01220703125,-0.0455403315966347,0.0294458768738721,0.0197031725664342,1,0.001227484243672,41
2023-02-27,145.67344665527344,380.3030700683594,-0.0303508746983448,0.0399541000675092,0.0169458257578316,1,-0.0302030265331268,45
2023-02-28,145.17120361328125,378.89752197265625,-0.0072063043319011,0.0284241859839351,0.0050722012443262,1,-0.1017212122678756,48
2023-03-01,143.10308837890625,377.4440307617187,-0.0241757381915315,0.0520268693905701,0.0105893506885383,1,-0.0103553434213002,48
2023-03-02,143.69398498535156,380.3795166015625,-0.023360215017521,0.0320745314203512,-0.0157109807260366,1,-0.1387483156644381,52
2023-03-03,148.73623657226562,386.4799499511719,0.0294458768738721,-0.0167518536399503,-0.0452261596195567,1,-0.1096249632537365,64
2023-03-06,151.4936981201172,386.74761962890625,0.0399541000675092,-0.0218423291581602,-0.0472467885525591,1,0.003197394221662,83
2023-03-07,149.29757690429688,380.8193664550781,0.0284241859839351,0.00653031581198,-0.0164211160323011,1,0.0670839234402305,76
2023-03-08,150.5482940673828,381.44091796875,0.0520268693905701,0.0007846886984252,-0.0241653449668518,1,0.0809439590999058,77
2023-03-09,148.3029022216797,374.40338134765625,0.0320745314203512,0.0349292877515683,0.0116199682926532,1,0.1220069731338114,79
2023-03-10,146.24462890625,369.0009460449219,-0.0167518536399503,0.0437712222337225,0.0144290709207675,1,0.0596091477076212,75
2023-03-13,148.18472290039062,368.47503662109375,-0.0218423291581602,0.0460556082654735,0.0256453642024847,1,0.0196128090222676,54
2023-03-14,150.2725372314453,374.5658874511719,0.00653031581198,0.0438430703654177,0.0222155775219929,1,-0.0552305747877876,53
2023-03-15,150.6664276123047,372.2232666015625,0.0007846886984252,0.0316363811293716,0.0111140335026318,1,-0.1807326728647405,55
2023-03-16,153.48301696777344,378.7539367675781,0.0349292877515683,0.0197625668540639,-0.0036337093946189,1,-0.1927137090401216,44
2023-03-17,152.64593505859375,374.3252868652344,0.0437712222337225,0.0338711154276913,0.0147698198198564,1,-0.0849605752871586,39
2023-03-20,155.00946044921875,377.9247131347656,0.0460556082654735,0.0055907744101115,0.0069843458049392,0,-0.0819710741440455,36
2023-03-21,156.86094665527344,382.8870849609375,0.0438430703654177,-0.0102339105911952,-0.0082977296196435,0,-0.0168459902744035,37
2023-03-22,155.43296813964844,376.3601684570313,0.0316363811293716,0.0186276776366263,0.0235649990229123,0,0.09761393815279,30
2023-03-23,156.5162353515625,377.3776550292969,0.0197625668540639,0.0215818788454984,0.0267823373465974,0,0.1025232718307144,49
2023-03-24,157.81622314453125,379.85400390625,0.0338711154276913,0.0290170482518783,0.0344662223741902,0,0.0714022492369016,54
2023-03-27,155.87608337402344,380.5642700195313,0.0055907744101115,0.0498484899654887,0.036469925014013,1,0.0786662977515605,57
2023-03-28,155.25564575195312,379.7099914550781,-0.0102339105911952,0.0506187127966903,0.033038568236819,1,0.0749380744871546,61
2023-03-29,158.3283233642578,385.2290954589844,0.0186276776366263,0.0185977435873712,0.0155722956492683,1,0.0460769759642111,74
2023-03-30,159.89414978027344,387.4847106933594,0.0215818788454984,0.0141659993684404,0.013598933110626,1,0.0290286976193624,63
2023-03-31,162.3955841064453,392.9461364746094,0.0290170482518783,-0.0174045127592408,0.0005371985325635,0,0.0010544704273343,64
2023-04-03,163.64627075195312,394.44342041015625,0.0498484899654887,-0.0323161756547162,-0.002993008499262,0,-0.0561358386011266,67
2023-04-04,163.11448669433594,392.2550659179687,0.0506187127966903,-0.0333876807306655,-0.001517262261995,0,-0.0882848067717118,66
2023-04-05,161.2728729248047,391.2279968261719,0.0185977435873712,0.0109917714516898,0.0144012847667416,0,0.0124952187613835,63
2023-04-06,162.15921020507812,392.7540893554687,0.0141659993684404,0.0033402758526981,0.0079917536962212,0,-0.0436138376112907,62
2023-04-10,159.5691680908203,393.1572265625,-0.0174045127592408,0.0197494148950156,0.0105712375774045,1,-0.1587743443601271,68
2023-04-11,158.35784912109375,393.2628479003906,-0.0323161756547162,0.0352612317814173,0.010958731261403,1,-0.1251178477491651,70
2023-04-12,157.66847229003906,391.659912109375,-0.0333876807306655,0.0470332753602766,0.0149246776820661,1,-0.2039677049432482,70
2023-04-13,163.04554748535156,396.8621826171875,0.0109917714516898,0.0065834979901926,-0.0038453967048025,1,-0.2402387235845838,70
2023-04-14,162.70086669921875,395.8928833007813,0.0033402758526981,-0.0011499832501216,-0.0006304818348926,0,-0.1872548122904194,67
